Latitude,Longitude,district_name,state_name,total_crimes_sum,num_years,risk_level
14.1681806,77.9641188083728,Sri Sathya Sai,andhra pradesh,618.0,1,Low Risk
14.3049174,76.52972341987515,Chitradurga,karnataka,2666.0,6,Medium Risk
14.4661266,75.9206361,Davangere,karnataka,2503.0,6,Medium Risk
14.4674,78.8242,Y.S.R.,andhra pradesh,4852.0,6,High Risk
14.7174388,79.66050570996853,Spsr Nellore,andhra pradesh,2096.0,2,Medium Risk
14.7174388,79.66050570996853,Sri Potti Sriramulu Nellore,andhra pradesh,3644.0,4,Medium Risk
14.71802675,75.36564232024529,Haveri,karnataka,1506.0,6,Low Risk
14.72421995,77.43067380798242,Anantapur,andhra pradesh,1385.0,3,Low Risk
14.72537945,74.64033891105888,Uttara Kannada,karnataka,1623.0,6,Low Risk
15.219624,74.1159084575026,South Goa,goa,623.0,6,Low Risk
15.34836575,76.80552779174394,Ballari,karnataka,2312.0,6,Medium Risk
15.3707296,75.13328673460543,Dharwad,karnataka,1490.0,12,Low Risk
15.41669195,75.6815801296564,Gadag,karnataka,770.0,6,Low Risk
15.4736293,78.4806592,Nandyal,andhra pradesh,927.0,1,Low Risk
15.57482375,76.3118493692591,Koppal,karnataka,1451.0,6,Low Risk
15.60444125,74.00172406307475,North Goa,goa,1153.0,12,Low Risk
15.66426435,79.47330014039173,Prakasam,andhra pradesh,7793.0,6,High Risk
15.8309251,78.0425373,Kurnool,andhra pradesh,8605.0,6,High Risk
15.9346161,80.38697056600418,Bapatla,andhra pradesh,864.0,1,Low Risk
16.054719400000003,76.90036472411589,Raichur,karnataka,2721.0,6,Medium Risk
16.0999202,77.73415835077523,Jogulamba Gadwal,telangana,930.0,6,Low Risk
16.135719299999998,73.65220860183584,Sindhudurg,maharashtra,696.0,6,Low Risk
16.15878455,74.88886197026468,Belagavi,karnataka,4885.0,18,High Risk
16.21277,81.03069575082347,Krishna,andhra pradesh,8694.0,6,High Risk
16.285294399999998,77.98644727021286,Wanaparthy,telangana,836.0,6,Low Risk
16.2903648,75.5915819092485,Bagalkote,karnataka,1639.0,6,Low Risk
16.2915189,80.4541588,Guntur,andhra pradesh,14806.0,11,High Risk
16.32310375,79.69750488987478,Palnadu,andhra pradesh,868.0,1,Low Risk
16.415762649999998,78.68304333132829,Nagarkurnool,telangana,1674.0,6,Low Risk
16.57441225,76.92544344576471,Yadgir,karnataka,1548.0,6,Low Risk
16.64430285,81.58852467942901,West Godavari,andhra pradesh,8000.0,6,High Risk
16.661413500000002,82.08351375641911,Konaseema,andhra pradesh,909.0,1,Low Risk
16.69382715,74.46158814301754,Shahid Bhagat Singh Nagar,punjab,678.0,6,Low Risk
16.696568550000002,77.95911462089693,Mahabubnagar,telangana,2451.0,6,Medium Risk
16.700551750000002,77.61648447017446,Narayanpet,telangana,617.0,4,Low Risk
16.7028412,74.2405329,Kolhapur,maharashtra,4862.0,6,High Risk
16.7104257,81.1153816,Eluru,andhra pradesh,1501.0,1,Low Risk
16.814415,75.89338562976022,Vijayapura,karnataka,1996.0,6,Low Risk
16.816911750000003,80.25022993069638,Ntr,andhra pradesh,8130.0,12,High Risk
16.8579636,79.21749353315548,Nalgonda,telangana,4345.0,6,High Risk
16.9437385,82.2350607,Kakinada,andhra pradesh,848.0,1,Low Risk
16.99566385,81.71543778889063,East Godavari,andhra pradesh,9784.0,11,High Risk
17.08001385,79.7925329742427,Suryapet,telangana,3799.0,6,Medium Risk
17.1726928,74.58676543279755,Sangli,maharashtra,4350.0,6,High Risk
17.240895700000003,76.76974392025645,Kalaburagi,karnataka,3076.0,10,Medium Risk
17.2465351,80.1500326,Khammam,telangana,4289.0,6,High Risk
17.2702855,77.74529700637382,Vikarabad,telangana,1771.0,6,Low Risk
17.282607900000002,73.4569787039826,Ratnagiri,maharashtra,1333.0,6,Low Risk
17.360589,78.4740613,Hyderabad,telangana,33960.0,18,High Risk
17.42819665,79.09049097612106,Yadadri Bhuvanagiri,telangana,15455.0,6,High Risk
17.480926850000003,78.5571143658342,S.A.S Nagar,punjab,2633.0,24,Medium Risk
17.63612885,74.29827807601782,Satara,maharashtra,5357.0,6,High Risk
17.671533099999998,82.77475669632513,Anakapalli,andhra pradesh,708.0,1,Low Risk
17.6868,83.2185,Visakhapatanam,andhra pradesh,335.0,1,Low Risk
17.6935526,83.2921297,Visakhapatnam,andhra pradesh,9494.0,10,High Risk
17.7138983,80.04134252767227,Mahabubabad,telangana,2126.0,6,Medium Risk
17.71666325,80.57126094455612,Bhadradri Kothagudem,telangana,3813.0,6,Medium Risk
17.84990665,75.27632027348457,Solapur,maharashtra,7878.0,12,High Risk
17.8684342,77.82271887720601,Sangareddy,telangana,2084.0,6,Medium Risk
17.88592535,82.21792795528634,Alluri Sitharama Raju,andhra pradesh,138.0,1,Low Risk
17.9375095,78.21174498510584,Medak,telangana,1810.0,6,Low Risk
17.9820644,79.5970954,Warangal,telangana,5998.0,6,High Risk
18.005585099999998,78.89611304969961,Siddipet,telangana,3262.0,6,Medium Risk
18.02072965,77.24872035766641,Bidar,karnataka,1620.0,6,Low Risk
18.1141255,83.4114389,Vizianagaram,andhra pradesh,3484.0,6,Medium Risk
18.16984395,76.11796321159572,Dharashiv,maharashtra,2498.0,6,Medium Risk
18.26654225,81.29252341475065,Sukma,chhattisgarh,167.0,6,Low Risk
18.27446845,81.952031579464,Malkangiri,odisha,2380.0,6,Medium Risk
18.2949307,83.8938844,Srikakulam,andhra pradesh,2918.0,6,Medium Risk
18.31453475,80.3458815996114,Mulugu,telangana,601.0,4,Low Risk
18.316551,78.05393808043348,Kamareddy,telangana,1867.0,6,Low Risk
18.35533475,76.75489974062862,Latur,maharashtra,3533.0,6,Medium Risk
18.4348122,79.1328042,Karimnagar,telangana,3217.0,6,Medium Risk
18.452116,78.76455837158737,Rajanna Sircilla,telangana,1498.0,6,Low Risk
18.4928092,73.13807095426539,Raigad,maharashtra,1780.0,6,Low Risk
18.5159872,79.96939659792528,Jayashankar Bhupalapally,telangana,1305.0,6,Low Risk
18.5213738,73.8545071,Pune,maharashtra,24011.0,23,High Risk
18.62065305,79.49501710882896,Peddapalli,telangana,5228.0,6,High Risk
18.6732693,78.0978477,Nizamabad,telangana,3345.0,6,Medium Risk
18.7232023,82.61005964425227,Koraput,odisha,4230.0,6,High Risk
18.75149845,83.54874728260714,Parvathipuram Manyam,andhra pradesh,277.0,1,Low Risk
18.7935679,80.815939,Bijapur,chhattisgarh,222.0,6,Low Risk
18.7971269,78.9224727,Jagitial,telangana,2450.0,6,Medium Risk
18.9,81.35,Dakshin Bastar Dantewada,chhattisgarh,318.0,6,Low Risk
18.9918442,75.90978399809711,Beed,maharashtra,5438.0,6,High Risk
19.054999,72.8692035,Mumbai,maharashtra,35036.0,12,High Risk
19.054999,72.8692035,Mumbai Suburban,maharashtra,5036.0,6,High Risk
19.091520950000003,78.39660898429065,Nirmal,telangana,1187.0,6,Low Risk
19.09400875,77.48319215130235,Nanded,maharashtra,4414.0,6,High Risk
19.11912825,81.82918648971713,Bastar,chhattisgarh,1105.0,6,Low Risk
19.1550091,72.84031725,Shrawasti,uttar pradesh,1899.0,6,Low Risk
19.162772500000003,74.85802430085195,Ahmednagar,maharashtra,10049.0,6,High Risk
19.1943294,72.9701779,Thane,maharashtra,17906.0,15,High Risk
19.1966026,84.19306336169709,Gajapati,odisha,1333.0,6,Low Risk
19.228896,82.5665715,Nabarangpur,odisha,3604.0,6,Medium Risk
19.29019805,76.60264434278307,Parbhani,maharashtra,2945.0,6,Medium Risk
19.33381885,79.4219792634756,Kumuram Bheem Asifabad,telangana,1192.0,6,Low Risk
19.44266975,83.58730533403485,Rayagada,odisha,2482.0,6,Medium Risk
19.54311635,77.17394323993398,Hingoli,maharashtra,1745.0,6,Low Risk
19.5842032,81.1136985512029,Narayanpur,chhattisgarh,241.0,6,Low Risk
19.5885769,81.6628742,Kondagaon,chhattisgarh,681.0,6,Low Risk
19.60900675,84.70806331829348,Ganjam,odisha,7896.0,6,High Risk
19.6759452,78.5339895,Adilabad,telangana,1546.0,6,Low Risk
19.757249,73.09311986183509,Palghar,maharashtra,3727.0,6,Medium Risk
19.75907035,80.16228072580182,Gadchiroli,maharashtra,1079.0,6,Low Risk
19.8076083,85.8252538,Puri,odisha,7343.0,6,High Risk
19.82657565,83.04087019477804,Kalahandi,odisha,4790.0,6,High Risk
19.877263,75.3390241,Chhatrapati Sambhajinagar,maharashtra,8097.0,17,High Risk
19.91883295,75.87085986165867,Jalna,maharashtra,4804.0,6,High Risk
20.0112475,73.7902364,Nashik,maharashtra,9717.0,12,High Risk
20.05381485,85.50233082193785,Khordha,odisha,8928.0,12,High Risk
20.0638677,78.35656629884886,Yavatmal,maharashtra,5485.0,6,High Risk
20.0967555,79.50454752230621,Chandrapur,maharashtra,4237.0,6,High Risk
20.12868925,80.98453000491365,Uttar Bastar Kanker,chhattisgarh,1007.0,6,Low Risk
20.13069385,84.07904760590154,Kandhamal,odisha,2811.0,6,Medium Risk
20.1801473,86.341487373675,Jagatsinghapur,odisha,5485.0,6,High Risk
20.23936825,85.0507280001334,Nayagarh,odisha,2674.0,6,Medium Risk
20.2733946,73.0044983,Dadra And Nagar Haveli,the dadra and nagar haveli and daman and diu,270.0,6,Low Risk
20.287417750000003,77.23696550258964,Washim,maharashtra,2512.0,6,Medium Risk
20.4169701,72.833173,Daman,the dadra and nagar haveli and daman and diu,165.0,6,Low Risk
20.43219565,73.14098929730321,Valsad,gujarat,629.0,6,Low Risk
20.4686,85.8792,Cuttack,odisha,7380.0,24,High Risk
20.52675605,82.19172167092043,Gariyaband,chhattisgarh,765.0,6,Low Risk
20.53262585,81.71559867809776,Dhamtari,chhattisgarh,1201.0,6,Low Risk
20.5412657,82.52923519887409,Nuapada,odisha,1854.0,6,Low Risk
20.5475164,86.5296168190126,Kendrapara,odisha,7373.0,6,High Risk
20.562845000000003,76.40869861474177,Buldhana,maharashtra,4783.0,6,High Risk
20.6095183,83.16730287009958,Balangir,odisha,4137.0,6,High Risk
20.6407463,83.99697042585481,Boudh,odisha,1186.0,6,Low Risk
20.7,80.6,Mohla Manpur Ambagarh Chouki,chhattisgarh,70.0,1,Low Risk
20.7137783,70.9853635,Diu,the dadra and nagar haveli and daman and diu,33.0,6,Low Risk
20.7277192,81.1446947513626,Balod,chhattisgarh,1070.0,6,Low Risk
20.76181225,77.1921156663574,Akola,maharashtra,4250.0,6,High Risk
20.78817185,73.70920325426432,Dang,gujarat,56.0,6,Low Risk
20.82562315,78.61314549522919,Wardha,maharashtra,2634.0,6,Medium Risk
20.8277892,86.37983525915192,Jajapur,odisha,7246.0,6,High Risk
20.83514935,85.60223048169827,Dhenkanal,odisha,5152.0,6,High Risk
20.8411255,85.08040066385269,Anugul,odisha,6569.0,6,High Risk
20.84288265,75.52612463784979,Jalgaon,maharashtra,5646.0,6,High Risk
20.9298181,70.76275783253665,Gir Somnath,gujarat,917.0,6,Low Risk
20.952407,72.9323831,Navsari,gujarat,415.0,6,Low Risk
20.9854052,86.59342264863574,Bhadrak,odisha,5962.0,6,High Risk
21.06844245,80.797077941564,Rajnandgaon,chhattisgarh,1905.0,6,Low Risk
21.1225869,79.79450898891825,Bhandara,maharashtra,1817.0,6,Low Risk
21.1305215,74.49006143365727,Dhule,maharashtra,3195.0,6,Medium Risk
21.1498134,79.0820556,Nagpur,maharashtra,9404.0,18,High Risk
21.15454115,77.64429617998744,Amravati,maharashtra,7856.0,12,High Risk
21.1787195,75.44245,Tapi,gujarat,202.0,6,Low Risk
21.19228455,82.48902633077708,Mahasamund,chhattisgarh,1267.0,6,Low Risk
21.1982964,81.40079215767969,Durg,chhattisgarh,4309.0,6,High Risk
21.2094892,72.8317058,Surat,gujarat,5062.0,15,High Risk
21.2319922,83.5652737033866,Bargarh,odisha,3699.0,6,Medium Risk
21.2380912,81.6336993,Raipur,chhattisgarh,5822.0,12,High Risk
21.33486695,76.37088027832233,Burhanpur,madhya pradesh,1308.0,6,Low Risk
21.4176122,71.24960898982046,Amreli,gujarat,1361.0,6,Low Risk
21.455228,80.1962729,Gondia,maharashtra,1933.0,6,Low Risk
21.5,80.6,Khairgarh Chhuikhadan Gandai,chhattisgarh,109.0,1,Low Risk
21.51416215,74.54055132515717,Nandurbar,maharashtra,1368.0,6,Low Risk
21.51979155,86.87906376156391,Baleshwar,odisha,12209.0,12,High Risk
21.5220416,70.4582458,Junagadh,gujarat,1598.0,9,Low Risk
21.54278085,83.12613574533323,Sarangarh Bilaigarh,chhattisgarh,212.0,1,Low Risk
21.5570606,84.15285150500952,Sambalpur,odisha,4150.0,6,High Risk
21.573184750000003,82.2994820805541,Baloda Bazar,chhattisgarh,2431.0,6,Medium Risk
21.5892323,85.66878413736906,Kendujhar,odisha,5483.0,6,High Risk
21.6409,69.611,Porbandar,gujarat,398.0,6,Low Risk
21.6783867,81.44125784340252,Bemetara,chhattisgarh,1153.0,6,Low Risk
21.7080427,72.9956936,Bharuch,gujarat,1071.0,6,Low Risk
21.7514248,74.89159566675349,Barwani,madhya pradesh,1852.0,6,Low Risk
21.7718836,72.1416449,Bhavnagar,gujarat,1758.0,9,Low Risk
21.8019368,83.97139644649639,Jharsuguda,odisha,1929.0,6,Low Risk
21.825,76.352,Khandwa (East Nimar),madhya pradesh,2862.0,6,Medium Risk
21.8317931,75.6284103,Khargone (West Nimar),madhya pradesh,3582.0,6,Medium Risk
21.8611589,80.3237104768576,Balaghat,madhya pradesh,3741.0,6,Medium Risk
21.8797472,77.87536507259225,Betul,madhya pradesh,2953.0,6,Medium Risk
21.9156338,86.39618239522102,Mayurbhanj,odisha,7700.0,6,High Risk
21.986403,82.55366063452159,Janjgir-Champa,chhattisgarh,2821.0,6,Medium Risk
22.0245,81.2316,Kabeerdham,chhattisgarh,1277.0,6,Low Risk
22.0262563,82.959829,Sakti,chhattisgarh,274.0,1,Low Risk
22.04670975,71.66896169930108,Botad,gujarat,435.0,6,Low Risk
22.0605153,83.93591537678307,Sundargarh,odisha,5374.0,18,High Risk
22.0648451,87.83775864690253,Purba Medinipur,west bengal,8833.0,6,High Risk
22.0661098,81.6874282,Mungeli,chhattisgarh,1181.0,6,Low Risk
22.1638486,82.13659231724193,Bilaspur,chhattisgarh,4251.0,6,High Risk
22.1638486,82.13659231724193,Bilaspur,himachal pradesh,647.0,6,Low Risk
22.1776733,88.53078530426869,South 24 Parganas,west bengal,25223.0,18,High Risk
22.20718965,78.79883295930742,Chhindwara,madhya pradesh,3697.0,6,Medium Risk
22.23617945,83.35295335037318,Raigarh,chhattisgarh,2620.0,6,Medium Risk
22.24279725,77.11791731666993,Harda,madhya pradesh,1699.0,6,Low Risk
22.2475106,68.96824404260735,Devbhumi Dwarka,gujarat,592.0,6,Low Risk
22.2748109,79.72025222428486,Seoni,madhya pradesh,2864.0,6,Medium Risk
22.28595245,74.35456282607561,Alirajpur,madhya pradesh,1314.0,6,Low Risk
22.2973142,73.1942567,Vadodara,gujarat,2669.0,21,Medium Risk
22.3053263,70.8028377,Rajkot,gujarat,3290.0,15,Medium Risk
22.3142,74.0183,Chhotaudepur,gujarat,579.0,6,Low Risk
22.36001185,87.41115051140771,Paschim Medinipur,west bengal,8050.0,12,High Risk
22.3913377,92.73971892338996,Lawngtlai,mizoram,62.0,6,Low Risk
22.4282857,85.53174827930928,West Singhbhum,jharkhand,953.0,6,Low Risk
22.4538505,86.9949477,Jhargram,west bengal,1377.0,6,Low Risk
22.4732415,70.0552102,Jamnagar,gujarat,916.0,6,Low Risk
22.4899565,92.9812107,Siaha,mizoram,59.0,6,Low Risk
22.5198217,82.63500285150224,Korba,chhattisgarh,2002.0,6,Medium Risk
22.5586555,72.9627227,Anand,gujarat,1240.0,6,Low Risk
22.5724857,88.3587427,Central,delhi,3600.0,6,Medium Risk
22.5726459,88.3638953,Kolkata,west bengal,12131.0,12,High Risk
22.5736296,88.3251045,Howrah,west bengal,9571.0,18,High Risk
22.5786572,75.22586367245644,Dhar,madhya pradesh,5830.0,6,High Risk
22.59045725,84.54648050193023,Simdega,jharkhand,534.0,6,Low Risk
22.60028325,77.92698480384354,Narmadapuram,madhya pradesh,3329.0,6,Medium Risk
22.6694223,77.5687122,Narmada,gujarat,346.0,6,Low Risk
22.6871074,80.58163411525186,Mandla,madhya pradesh,1758.0,6,Low Risk
22.69268145,88.66257945063968,North 24 Parganas,west bengal,36631.0,27,High Risk
22.7203616,75.8681996,Indore,madhya pradesh,12345.0,19,High Risk
22.7464225,85.91689291046393,Saraikela Kharsawan,jharkhand,980.0,6,Low Risk
22.770251,83.97080132252168,Jashpur,chhattisgarh,1576.0,6,Low Risk
22.8003959,70.88623203876728,Morbi,gujarat,603.0,6,Low Risk
22.8057498,76.294040773288,Dewas,madhya pradesh,4465.0,6,High Risk
22.82513945,71.62097359358216,Surendranagar,gujarat,803.0,6,Low Risk
22.8312,86.183,East Singhbum,jharkhand,3310.0,12,Medium Risk
22.83131855,81.95896604969082,Gaurela Pendra Marwahi,chhattisgarh,282.0,3,Low Risk
22.8532503,72.99535862253666,Kheda,gujarat,1121.0,6,Low Risk
22.88696515,74.72432486327068,Jhabua,madhya pradesh,1886.0,6,Low Risk
22.9070871,80.88469235570068,Dindori,madhya pradesh,1910.0,6,Low Risk
22.90994025,88.01208246766723,Hooghly,west bengal,8976.0,12,High Risk
22.916667,79.166667,Narsimhapur,madhya pradesh,2909.0,6,Medium Risk
22.92818005,85.28144745743757,Khunti,jharkhand,388.0,6,Low Risk
22.94691345,83.1656942260687,Surguja,chhattisgarh,2075.0,6,Medium Risk
22.95199715,92.63388271315203,Lunglei,mizoram,98.0,6,Low Risk
22.9663656,93.01026448504744,Hnahthial,mizoram,5.0,3,Low Risk
23.0,74.0,Panch Mahals,gujarat,1183.0,9,Low Risk
23.0215374,72.5800568,Ahmadabad,gujarat,9848.0,21,High Risk
23.0346179,81.75102551563023,Anuppur,madhya pradesh,2064.0,6,Medium Risk
23.0757335,87.3146343,Bishnupur,manipur,173.0,6,Low Risk
23.11500415,77.06653558236647,Sehore,madhya pradesh,3313.0,6,Medium Risk
23.132377,87.20819250835955,Bankura,west bengal,2899.0,6,Medium Risk
23.1603759,84.45995652080032,Gumla,jharkhand,1232.0,6,Low Risk
23.1701522,79.9324505,Jabalpur,madhya pradesh,8472.0,12,High Risk
23.1708278,91.63881696227516,South Tripura,tripura,677.0,6,Low Risk
23.1885131,75.7716562,Ujjain,madhya pradesh,4828.0,6,High Risk
23.19121945,73.6644398400249,Mahisagar,gujarat,612.0,6,Low Risk
23.2020967,86.32289877475208,Purulia,west bengal,2310.0,6,Medium Risk
23.2232877,72.6492267,Gandhinagar,gujarat,1204.0,15,Low Risk
23.2382999,82.3906588,Korea,chhattisgarh,1546.0,6,Low Risk
23.2584857,77.401989,Bhopal,madhya pradesh,11263.0,13,High Risk
23.2675909,78.17271344991482,Raisen,madhya pradesh,3472.0,6,Medium Risk
23.3002343,81.364771,Shahdol,madhya pradesh,3402.0,6,Medium Risk
23.3052514,92.8455123321871,Serchhip,mizoram,68.0,6,Low Risk
23.3577769,82.97612766699449,Surajpur,chhattisgarh,1806.0,6,Low Risk
23.3700501,85.3250387,Ranchi,jharkhand,3048.0,6,Medium Risk
23.38840885,87.96067626428223,Purba Bardhaman,west bengal,8263.0,6,High Risk
23.41710015,76.60747942907905,Shajapur,madhya pradesh,2122.0,6,Medium Risk
23.43166925,82.16303613753175,Manendragarh Chirimiri Bharatpur,chhattisgarh,237.0,1,Low Risk
23.4770044,84.69866841888845,Lohardaga,jharkhand,654.0,6,Low Risk
23.4847374,88.55670673333935,Nadia,west bengal,12146.0,9,High Risk
23.4877894,93.14029427419158,Khawzawl,mizoram,28.0,3,Low Risk
23.49150465,74.35021720129201,Banswara,rajasthan,3967.0,6,Medium Risk
23.4987407,91.2999111,Gomati,tripura,705.0,6,Low Risk
23.5,73.2,Arvalli,gujarat,923.0,6,Low Risk
23.5,73.25,Sabar Kantha,gujarat,1107.0,6,Low Risk
23.50222005,74.9551534052134,Ratlam,madhya pradesh,4055.0,6,Medium Risk
23.54437435,93.34795058148228,Champhai,mizoram,138.0,6,Low Risk
23.583333,70.0,Kachchh,gujarat,1837.0,15,Low Risk
23.60029785,87.30413008873047,Paschim Bardhaman,west bengal,4098.0,6,Medium Risk
23.6015557,72.3867981,Mahesana,gujarat,1385.0,6,Low Risk
23.616665,83.618798,Balrampur Ramanujganj,chhattisgarh,1688.0,6,Low Risk
23.64318365,80.94190777719564,Umaria,madhya pradesh,1072.0,6,Low Risk
